id,name,hazardous,absolute_magnitude,diameter_min_m,diameter_max_m,diameter_avg_m,size_category,close_approach_date,year,month,day,velocity_kmh,velocity_kps,miss_distance_km,miss_distance_ld,very_close,risk_score,impact_energy,orbiting_body,nasa_jpl_url,risk_rank
3736412,(2015 XX169),False,27.4,8.801465209,19.6806745089,14.24106985895,Small,2025-03-04,2025,3,4,20425.4263104376,5.6737295307,31183682.47908777,81.0870668437,False,0.00932795295042032,46487384546.06654,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3736412,1551.0
3884243,(2019 UC11),False,24.75,29.8232505153,66.6868154623,48.255032988800004,Small,2025-03-04,2025,3,4,114875.1863451302,31.9097739848,66442206.70596342,172.7699626246,False,0.08343049067004084,57206491241830.26,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3884243,811.0
2535844,535844 (2015 BY310),True,21.89,111.3153296083,248.908643942,180.11198677515,Medium,2025-03-05,2025,3,5,28297.8006962226,7.8605001934,3672622.158419023,9.5499355681,False,1.3877749697393091,180508734023289.66,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2535844,123.0
2539856,539856 (2017 EV2),False,20.92,174.0022950671,389.080960011,281.54162753905,Medium,2025-03-05,2025,3,5,79295.2506406145,22.0264585113,25973552.623645693,67.5391432418,False,0.8595248499487684,5413612992307923.0,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2539856,202.0
3092253,(2000 EM26),False,22.51,83.6671501888,187.0854353059,135.37629274735,Medium,2025-03-05,2025,3,5,103245.3440829101,28.6792622453,73425700.02091396,190.9291710379,False,0.1903553104892134,1020313904981789.8,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3092253,575.0
3475238,(2009 VZ),True,21.44,136.9477737298,306.2245314272,221.5861525785,Medium,2025-03-05,2025,3,5,69223.5958414172,19.2287766226,73742982.39771333,191.7542017992,False,0.2080061013456425,2011412587279452.8,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3475238,552.0
3769806,(2017 DK34),False,26.8,11.6025908209,25.9441817907,18.7733863058,Small,2025-03-05,2025,3,5,67547.8221804364,18.763283939,50504755.4089945,131.3277378488,False,0.02510855363301055,1164703971128.9785,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3769806,1283.0
3709250,(2015 BY512),False,21.49,133.8304618158,299.2540100804,216.5422359481,Medium,2025-03-10,2025,3,10,62380.7415886568,17.3279837746,66336716.092436776,172.4956549178,False,0.20362879050095858,1524382379766918.5,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3709250,556.0
3785931,(2017 TA6),False,27.1,10.1054341542,22.5964377109,16.350935932549998,Small,2025-03-10,2025,3,10,59694.5904882901,16.5818306912,63109087.8179589,164.1028389053,False,0.015466273691189095,600983858721.4698,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3785931,1428.0
3843836,(2019 RB3),False,24.2,38.4197891064,85.9092601232,62.1645246148,Medium,2025-03-10,2025,3,10,64324.5734991006,17.8679370831,45217659.22965208,117.579678376,False,0.08843240894697058,38348350137573.086,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843836,795.0
